error_type;only_sens;with_pred;with_err;r1_error;r1_n;r1_rate;r10_error;r10_n;r10_rate;r2_error;r2_n;r2_rate;r3_error;r3_n;r3_rate;r4_error;r4_n;r4_rate;r5_error;r5_n;r5_rate;r6_error;r6_n;r6_rate;r7_error;r7_n;r7_rate;r8_error;r8_n;r8_rate;r9_error;r9_n;r9_rate
accuracy;TRUE;TRUE;TRUE;33;157;0.2102;142;448;0.317;206;648;0.3179;189;559;0.3381;241;683;0.3529;363;934;0.3887;224;555;0.4036;364;857;0.4247;476;1118;0.4258;554;1255;0.4414
accuracy;TRUE;TRUE;FALSE;39;181;0.2155;161;502;0.3207;208;634;0.3281;223;672;0.3318;229;657;0.3486;353;881;0.4007;221;547;0.404;379;902;0.4202;458;1083;0.4229;521;1155;0.4511
accuracy;TRUE;FALSE;TRUE;37;163;0.227;112;366;0.306;145;449;0.3229;219;662;0.3308;170;485;0.3505;301;824;0.3653;356;892;0.3991;552;1350;0.4089;371;859;0.4319;529;1164;0.4545
accuracy;TRUE;FALSE;FALSE;41;187;0.2193;159;496;0.3206;142;438;0.3242;194;573;0.3386;147;431;0.3411;239;647;0.3694;418;1069;0.391;407;1029;0.3955;516;1180;0.4373;529;1164;0.4545
accuracy;FALSE;TRUE;TRUE;60;277;0.2166;195;708;0.2754;213;721;0.2954;75;252;0.2976;367;1004;0.3655;514;1294;0.3972;356;799;0.4456;764;1678;0.4553;148;290;0.5103;100;191;0.5236
accuracy;FALSE;TRUE;FALSE;61;279;0.2186;58;212;0.2736;219;762;0.2874;207;714;0.2899;383;1066;0.3593;512;1251;0.4093;343;780;0.4397;724;1594;0.4542;160;324;0.4938;125;232;0.5388
accuracy;FALSE;FALSE;TRUE;52;239;0.2176;212;739;0.2869;215;708;0.3037;71;226;0.3142;359;1038;0.3459;541;1338;0.4043;763;1717;0.4444;348;752;0.4628;141;283;0.4982;90;174;0.5172
accuracy;FALSE;FALSE;FALSE;45;212;0.2123;184;639;0.2879;271;826;0.3281;99;293;0.3379;327;932;0.3509;389;1014;0.3836;534;1267;0.4215;526;1152;0.4566;308;665;0.4632;109;214;0.5093
fnr;TRUE;TRUE;TRUE;106;382;0.2775;157;455;0.3451;140;369;0.3794;121;259;0.4672;259;309;0.8382;110;127;0.8661;233;266;0.8759;281;281;1;523;523;1;500;500;1
fnr;TRUE;TRUE;FALSE;128;404;0.3168;157;455;0.3451;176;405;0.4346;125;263;0.4753;259;309;0.8382;110;127;0.8661;233;266;0.8759;289;289;1;501;501;1;452;452;1
fnr;TRUE;FALSE;TRUE;444;720;0.6167;343;550;0.6236;358;528;0.678;448;647;0.6924;237;310;0.7645;155;191;0.8115;178;217;0.8203;134;157;0.8535;99;114;0.8684;34;37;0.9189
fnr;TRUE;FALSE;FALSE;444;720;0.6167;475;738;0.6436;266;390;0.6821;408;597;0.6834;213;278;0.7662;131;166;0.7892;136;167;0.8144;177;212;0.8349;37;42;0.881;143;161;0.8882
fnr;FALSE;TRUE;TRUE;27;145;0.1862;144;532;0.2707;198;502;0.3944;59;104;0.5673;107;177;0.6045;335;371;0.903;291;319;0.9122;529;573;0.9232;151;159;0.9497;589;589;1
fnr;FALSE;TRUE;FALSE;30;135;0.2222;163;429;0.38;132;329;0.4012;56;95;0.5895;584;861;0.6783;108;159;0.6792;374;422;0.8863;267;285;0.9368;558;590;0.9458;158;166;0.9518
fnr;FALSE;FALSE;TRUE;29;148;0.1959;188;436;0.4312;65;110;0.5909;121;189;0.6402;529;814;0.6499;486;621;0.7826;445;535;0.8318;234;257;0.9105;83;91;0.9121;250;270;0.9259
fnr;FALSE;FALSE;FALSE;27;143;0.1888;204;467;0.4368;64;109;0.5872;110;180;0.6111;561;865;0.6486;506;627;0.807;420;491;0.8554;233;256;0.9102;83;91;0.9121;222;242;0.9174
fpr;TRUE;TRUE;TRUE;0;547;0;0;510;0;0;355;0;1;107;0.0093;10;470;0.0213;19;456;0.0417;17;405;0.042;15;271;0.0554;119;279;0.4265;181;343;0.5277
fpr;TRUE;TRUE;FALSE;0;547;0;0;470;0;0;355;0;1;107;0.0093;10;470;0.0213;19;456;0.0417;17;405;0.042;15;271;0.0554;119;279;0.4265;181;383;0.4726
fpr;TRUE;FALSE;TRUE;0;67;0;13;303;0.0429;20;445;0.0449;13;281;0.0463;15;322;0.0466;7;132;0.053;59;619;0.0953;52;440;0.1182;73;518;0.1409;110;616;0.1786
fpr;TRUE;FALSE;FALSE;0;79;0;12;312;0.0385;14;339;0.0413;7;151;0.0464;13;250;0.052;13;246;0.0528;46;574;0.0801;55;479;0.1148;70;540;0.1296;132;773;0.1708
fpr;FALSE;TRUE;TRUE;0;611;0;1;139;0.0072;4;334;0.012;6;372;0.0161;10;413;0.0242;21;604;0.0348;106;775;0.1368;28;97;0.2887;131;282;0.4645;55;116;0.4741
fpr;FALSE;TRUE;FALSE;0;555;0;1;139;0.0072;6;471;0.0127;6;341;0.0176;10;459;0.0218;21;538;0.039;104;748;0.139;28;98;0.2857;131;278;0.4712;55;116;0.4741
fpr;FALSE;FALSE;TRUE;5;309;0.0162;2;122;0.0164;7;384;0.0182;14;455;0.0308;26;607;0.0428;47;635;0.074;127;862;0.1473;25;87;0.2874;67;180;0.3722;42;102;0.4118
fpr;FALSE;FALSE;FALSE;2;122;0.0164;8;381;0.021;7;268;0.0261;12;444;0.027;21;479;0.0438;37;531;0.0697;88;603;0.1459;107;703;0.1522;22;81;0.2716;58;131;0.4427
precision;TRUE;TRUE;TRUE;59;273;0.2161;49;210;0.2333;42;166;0.253;54;208;0.2596;19;72;0.2639;73;272;0.2684;33;119;0.2773;13;40;0.325;7;19;0.3684;13;24;0.5417
precision;TRUE;TRUE;FALSE;34;202;0.1683;52;248;0.2097;40;161;0.2484;16;61;0.2623;55;198;0.2778;15;54;0.2778;41;145;0.2828;76;251;0.3028;17;49;0.3469;16;34;0.4706
precision;TRUE;FALSE;TRUE;52;248;0.2097;59;273;0.2161;48;195;0.2462;14;55;0.2545;55;198;0.2778;51;180;0.2833;18;60;0.3;38;126;0.3016;11;28;0.3929;16;40;0.4
precision;TRUE;FALSE;FALSE;59;273;0.2161;49;210;0.2333;12;51;0.2353;40;161;0.2484;36;144;0.25;26;98;0.2653;73;272;0.2684;22;76;0.2895;25;75;0.3333;20;43;0.4651
precision;FALSE;TRUE;TRUE;9;93;0.0968;32;224;0.1429;8;56;0.1429;10;49;0.2041;27;117;0.2308;69;255;0.2706;92;325;0.2831;23;66;0.3485;68;171;0.3977;24;47;0.5106
precision;FALSE;TRUE;FALSE;10;112;0.0893;6;57;0.1053;48;241;0.1992;11;50;0.22;25;109;0.2294;73;282;0.2589;77;274;0.281;23;65;0.3538;65;166;0.3916;24;47;0.5106
precision;FALSE;FALSE;TRUE;7;88;0.0795;11;64;0.1719;41;238;0.1723;10;48;0.2083;30;137;0.219;73;283;0.258;77;266;0.2895;23;70;0.3286;65;161;0.4037;25;48;0.5208
precision;FALSE;FALSE;FALSE;10;112;0.0893;6;57;0.1053;48;241;0.1992;11;50;0.22;25;109;0.2294;73;283;0.258;77;273;0.2821;23;65;0.3538;65;166;0.3916;24;47;0.5106
npr;TRUE;TRUE;TRUE;34;157;0.2166;146;483;0.3023;177;521;0.3397;243;710;0.3423;243;692;0.3512;234;663;0.3529;236;615;0.3837;522;945;0.5524;250;440;0.5682;345;585;0.5897
npr;TRUE;TRUE;FALSE;34;157;0.2166;146;483;0.3023;182;542;0.3358;202;601;0.3361;218;612;0.3562;270;754;0.3581;278;698;0.3983;511;953;0.5362;303;528;0.5739;286;483;0.5921
npr;TRUE;FALSE;TRUE;22;101;0.2178;51;195;0.2615;133;428;0.3107;151;437;0.3455;206;589;0.3497;216;606;0.3564;324;789;0.4106;293;628;0.4666;464;962;0.4823;570;1076;0.5297
npr;TRUE;FALSE;FALSE;29;135;0.2148;128;431;0.297;124;367;0.3379;174;515;0.3379;169;494;0.3421;213;556;0.3831;190;478;0.3975;369;797;0.463;464;962;0.4823;570;1076;0.5297
npr;FALSE;TRUE;TRUE;30;150;0.2;101;410;0.2463;201;696;0.2888;179;573;0.3124;326;903;0.361;389;999;0.3894;662;1302;0.5084;139;220;0.6318;78;120;0.65;325;438;0.742
npr;FALSE;TRUE;FALSE;30;150;0.2;84;346;0.2428;189;661;0.2859;170;552;0.308;318;899;0.3537;419;1086;0.3858;676;1336;0.506;138;217;0.6359;78;121;0.6446;328;443;0.7404
npr;FALSE;FALSE;TRUE;34;172;0.1977;143;544;0.2629;195;646;0.3019;186;592;0.3142;308;827;0.3724;432;1062;0.4068;646;1272;0.5079;78;121;0.6446;129;200;0.645;279;375;0.744
npr;FALSE;FALSE;FALSE;34;172;0.1977;143;544;0.2629;195;646;0.3019;186;592;0.3142;308;827;0.3724;432;1062;0.4068;646;1272;0.5079;78;121;0.6446;129;200;0.645;279;375;0.744
